語句,品詞,意味（小学校の単語リスト）
lettuce,名,レタス
onion,名,タマネギ
pineapple,名,パイナップル
strawberry,名,イチゴ
watermelon,名,スイカ
corn,名,トウモロコシ
pork,名,豚肉
bacon,名,ベーコン
ham,名,ハム
orange,名,オレンジ
panda,名,（ジャイアント）パンダ
bear,名,クマ
elephant,名,ゾウ
tiger,名,トラ
lion,名,ライオン
zebra,名,シマウマ
giraffe,名,キリン
camel,名,ラクダ
frog,名,カエル
whale,名,クジラ
penguin,名,ペンギン
sea turtle,名,ウミガメ
shark,名,サメ、フカ
ant,名,アリ
butterfly,名,チョウ
spider,名,クモ
forest,名,森、森林
volleyball,名,バレーボール
softball,名,ソフトボール
dodgeball,名,ドッジボール
table tennis,名,卓球
badminton,名,バドミントン
track and field,名,陸上競技
skiing,名,スキー
dance,名,ダンス、おどり
piano,名,ピアノ
violin,名,バイオリン
guitar,名,ギター
recorder,名,リコーダー
harmonica,名,ハーモニカ
drum,名,ドラム、たいこ
triangle,名,トライアングル
stationery,名,文房具
computer,名,コンピュータ
smartphone,名,スマートフォン
chair,名,いす
racket,名,ラケット
glass,名,コップ、グラス
dictionary,名,辞書
present,名,プレゼント
camera,名,カメラ
crayon,名,クレヨン
marker,名,マーカー（ペン）
pencil,名,えんぴつ
pencil case,名,筆箱
eraser,名,消しゴム
ruler,名,定規
scissors,名,［複数あつかい］はさみ
stapler,名,ホッチキス
shirt,名,シャツ
sweatshirt,名,スウェットシャツ、トレーナー
sweater,名,セーター
pants,名,［複数あつかい］ズボン
jeans,名,［複数あつかい］ジーンズ、ジーパン
glove,名,てぶくろ、グローブ
sock,名,［ふつうsocksで］靴下、ソックス
shoe,名,くつ
tablet,名,タブレット型コンピュータ
watch,名,腕時計、懐中時計
entrance,名,玄関、入り口
restroom,名,手洗い、トイレ
office,名,事務所、役所
principal's office,名,校長室
nurse's office,名,保健室
social studies,名,社会科
science,名,科学、理科
home economics,名,家庭科
moral education,名,道徳
school trip,名,修学旅行
school festival,名,文化祭
field trip,名,校外見学、遠足
drama,名,劇
swimming meet,名,水泳大会
entrance ceremony,名,入学式
graduation ceremony,名,卒業式
activity,名,活動
brass band,名,ブラスバンド、吹奏楽団
newspaper,名,新聞
bus stop,名,バス停
police station,名,警察署
fire station,名,消防署
bookstore,名,書店
supermarket,名,スーパーマーケット
temple,名,寺
stadium,名,スタジアム、競技場
bus,名,バス
taxi,名,タクシー
job,名,職、仕事
comedian,名,コメディアン
artist,名,芸術家、芸能人
writer,名,筆者、作家
nurse,名,看護師
vet,名,獣医
baker,名,パン焼き職人
farmer,名,農場主
police officer,名,警察官
fire fighter,名,消防士
pilot,名,パイロット
astronaut,名,宇宙飛行士
researcher,名,研究者
scientist,名,科学者
flight attendant,名,（飛行機の）客室乗務員
driver,名,運転手
classmate,名,同級生
grandmother,名,祖母
grandfather,名,祖父
aunt,名,おば、おばさん
uncle,名,おじ、おじさん
body,名,体
hair,名,髪
head,名,頭
face,名,顔
shoulder,名,肩
arm,名,腕
knee,名,ひざ
eye,名,目
ear,名,耳
mouth,名,口
tooth,名,歯
teeth,名,toothの複数形
neck,名,首
leg,名,脚
toe,名,足の指
spell,動,（語）をつづる
listen,動,聞く、耳を傾ける
catch,動,…を捕まえる、…をとらえる
fly,動,飛ぶ
ride,動,…に乗る、乗っていく
save,動,…を救う
dance,動,おどる、ダンスをする
cookie,名,クッキー
skate,動,スケートをする
high,副,高く
dancing,名,おどり、ダンス
fishing,名,（魚）つり
hiking,名,ハイキング
shopping,名,買い物
reading,名,読書、読むこと
wake,動,目が覚める
wash,動,（ …を）洗う
comb,動,（髪）をくしでとかす
breakfast,名,朝食
brush,動,…をみがく
garbage,名,生ごみ、ごみ
dinner,名,夕食、ディナー
dish,名,皿
home,副,家に［へ］
walk,動,（イヌなど）を歩かせる、散歩させる
never,副,決して…ない
delicious,形,とてもおいしい
low,形,（高さ・位置などが）低い
short,形,（時間・長さ・距離が）短い
slow,形,遅い
active,形,活動的な
shy,形,内気な、恥ずかしがりの
smart,形,りこうな、頭のいい、抜け目のない
bitter,形,苦い
salty,形,塩気のある、塩からい
sour,形,酸っぱい
spicy,形,香辛料のきいた、香ばしい
soft,形,やわらかい
fast,形,速い
hard,形,かたい
high,形,高い
old,形,古い
sweet,形,甘い
by,前,［by the wayで］ところで
in,前,【運動・方向】…の中へ、…に
first,副,第1に、最初に
shop,動,買い物をする
when,接,…するときに
can,助,【許可】…してもよい
name,動,（ 人など）に…という名前をつける
park,動,（自動車など）を駐車する
play,動,遊ぶ
to,前,【不定詞（副詞的）】…するために［目的を表す］
to,前,【不定詞（副詞的）】…して［原因を表す］
start,動,（…を）始める
to,前,【不定詞（形容詞的）】…するための、…すべき
from,前,【時間】…から
it,代,［「It is ... （for ＋（人））＋ to ＋ 動詞の原形」で］（（人）が）～することは…です
now,名,今、現在
on,副,先へ、前へ
out,副,はっきりと、大声で
second,副,第2に、2番めに
long,副,長い間、ずっと
spring,名,ばね、ぜんまい
to,前,【不定詞（副詞的）】…するのが
great,形,偉大な、すぐれた
now,副,さて、ところで、さあ
by,前,【時間】…までに
save,動,…を節約する
to,前,【疑問詞 ＋ 不定詞】…すべきか、…したらよいか、…のやり方
that,接,…ということ
the,冠,［形容詞につけて］…な［の］人々 the elderly お年寄り
this,代,今述べたこと、次に述べること
father,名,［the father ofで］…の創始者、生みの親
the,冠,［年代の10年をまとめて表す場合］the 1970s 1970年代
yes,名,賛成
work,名,仕事、職
stop,名,停留所、駅
take,動,（乗り物など）に乗る
up,副,すっかり、完全に
sorry,形,気の毒で、かわいそうで
and,接,［命令文のあとで］そうすれば
by,副,通り過ぎて
old,形,年をとった
are,助,［受け身の形を作る］
is,助,［受け身の形を作る］
by,前,【動作主】…によって［主に受け身の文で］
face,動,…に直面する
turn,動,（…に）なる、変わる
bath,名,ふろ場、浴室、浴槽、湯ぶね
take,動,…を選ぶ、…を買う
under,前,…未満で
come,動,（ある状態）になる
live,動,［lifeを目的語にして］…な人生［生活］を送る
future,形,未来の、将来の
have,助,［現在完了形を作る］
never,副,今までに一度も…しない
go,動,［go ＋ 形容詞で］（ある状態）になる
make,動,（人・もの）を…の状態にする
you,代,人は（だれでも）［話し相手を含めた一般の人をさす。日本語に訳さない場合が多い］
to,前,【所属・付着】…に、…へ
on,前,【対象】…に対して、…に
have,助,［現在完了進行形を作る］
many,代,多数（の人［もの］）
small,形,少ない、わずかな
low,形,（値段・程度などが）低い、小さい、（地位・身分が）低い
from,前,【数量・順序】…から
help,動,（人）が…するのを手伝う
the,冠,［単数名詞につけて種類全体を表す］…というもの the sea otter ラッコ
to,前,【範囲・限界】…まで
square,形,正方形の
up,副,しっかりと、きちんと
sweet,形,心地よい、やさしい
fall,動,落ちる、降る
stop,動,…をとめる、…（するの）をやめる
every,形,どの…もみな
circle,動,…を丸で囲む
number,名,番号
hard,形,難しい、困難な
at,前,【原因・理由】…によって
on,副,（動作を）続けて、進行中で
work,動,努力する、（…に）取り組む
can,助,【申し出】Can I ...? …しましょうか。
on,前,【手段】…で、…によって
who,代,［関係代名詞］…である［する］ところの
stand,動,立ち上がる、起立する
that,代,［関係代名詞］…である［する］ところの
run,動,…を主催する
no,形,決して…ではない
third,名/形,3分の1（の）
stand,動,…をがまんする
great,形,大きな、すごい
out,副,なくなって、消えて
run,動,［run out ofで］…を使い果たす
color,動,…に色をつける、（葉などが）色づく、（顔を）赤らめる
fun,形,おもしろい、楽しい
